cnn,rtl,name,units,layer,clocktime,starttime,startsteps,endtime,endsteps,totaltime,totalsteps
small2,default,sys2d_ws_split_multi,ns,0,1.0,2.5,2500,450150.5,450150500,450148.0,450148000
small2,default,sys2d_ws_split_multi,ns,1,1.0,2.5,2500,2441414.5,2441414500,2441412.0,2441412000
small2,default,core_serial,ns,1,1.0,2.5,2500,2441414.5,2441414500,2441412.0,2441412000
small2,default,core_serial,ns,0,1.0,2.5,2500,450150.5,450150500,450148.0,450148000
default2,default,core_serial,ns,0,1.0,2.5,2500,225078.5,225078500,225076.0,225076000
default2,default,core_serial,ns,1,1.0,2.5,2500,305206.5,305206500,305204.0,305204000
default2,default,core_serial,ns,2,1.0,2.5,2500,91190.5,91190500,91188.0,91188000
default2,default,sys2d_ws_split_multi,ns,2,1.0,2.5,2500,91190.5,91190500,91188.0,91188000
default2,default,sys2d_ws_split_multi,ns,1,1.0,2.5,2500,305206.5,305206500,305204.0,305204000
default2,default,sys2d_ws_split_multi,ns,0,1.0,2.5,2500,225078.5,225078500,225076.0,225076000
default,default,sys2d_ws_split_multi,ns,2,1.0,2.5,2500,729286.5,729286500,729284.0,729284000
default,default,sys2d_ws_split_multi,ns,1,1.0,2.5,2500,610406.5,610406500,610404.0,610404000
default,default,sys2d_ws_split_multi,ns,0,1.0,2.5,2500,225078.5,225078500,225076.0,225076000
default,default,sys2d_ws_split,ns,2,1.0,2.5,2500,729285.5,729285500,729283.0,729283000
default,default,sys2d_ws_split,ns,1,1.0,2.5,2500,610405.5,610405500,610403.0,610403000
default,default,sys2d_ws_split,ns,0,1.0,2.5,2500,225077.5,225077500,225075.0,225075000
default,default,sys2d_ws,ns,0,1.0,2.5,2500,225077.5,225077500,225075.0,225075000
default,default,sys2d_ws,ns,1,1.0,2.5,2500,610405.5,610405500,610403.0,610403000
default,default,sys2d_ws,ns,2,1.0,2.5,2500,729285.5,729285500,729283.0,729283000
default,default,core_serial,ns,2,1.0,2.5,2500,729286.5,729286500,729284.0,729284000
default,default,core_serial,ns,0,1.0,2.5,2500,225078.5,225078500,225076.0,225076000
default,default,core_serial,ns,1,1.0,2.5,2500,610406.5,610406500,610404.0,610404000
default4,default,sys2d_ws_split_multi,ns,1,1.0,2.5,2500,4882630.5,4882630500,4882628.0,4882628000
default4,default,sys2d_ws_split_multi,ns,0,1.0,2.5,2500,900294.5,900294500,900292.0,900292000
default4,default,sys2d_ws_split_multi,ns,2,1.0,2.5,2500,1458374.5,1458374500,1458372.0,1458372000
default4,default,core_serial,ns,2,1.0,2.5,2500,1458374.5,1458374500,1458372.0,1458372000
default4,default,core_serial,ns,1,1.0,2.5,2500,4882630.5,4882630500,4882628.0,4882628000
default4,default,core_serial,ns,0,1.0,2.5,2500,900294.5,900294500,900292.0,900292000
small,default,sys2d_ws_split_multi,ns,1,1.0,2.5,2500,610406.5,610406500,610404.0,610404000
small,default,sys2d_ws_split_multi,ns,0,1.0,2.5,2500,225078.5,225078500,225076.0,225076000
small,default,core_serial,ns,1,1.0,2.5,2500,610406.5,610406500,610404.0,610404000
small,default,core_serial,ns,0,1.0,2.5,2500,225078.5,225078500,225076.0,225076000
default3,default,sys2d_ws_split_multi,ns,1,1.0,2.5,2500,1220710.5,1220710500,1220708.0,1220708000
default3,default,sys2d_ws_split_multi,ns,0,1.0,2.5,2500,450150.5,450150500,450148.0,450148000
default3,default,sys2d_ws_split_multi,ns,2,1.0,2.5,2500,364646.5,364646500,364644.0,364644000
default3,default,core_serial,ns,2,1.0,2.5,2500,364646.5,364646500,364644.0,364644000
default3,default,core_serial,ns,0,1.0,2.5,2500,450150.5,450150500,450148.0,450148000
default3,default,core_serial,ns,1,1.0,2.5,2500,1220710.5,1220710500,1220708.0,1220708000
