Copyright 1986-2021 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2021.1 (lin64) Build 3247384 Thu Jun 10 19:36:07 MDT 2021
| Date         : Mon Jun 19 02:40:33 2023
| Host         : paxos.inf.pucrs.br running 64-bit CentOS Linux release 7.9.2009 (Core)
| Command      : report_utilization -hierarchical -hierarchical_depth 3 -file report-util-D4.txt
| Design       : accelerator
| Device       : 7a100tcsg324-1
| Design State : Routed
-------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------+--------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
|                         Instance                        |                   Module                   | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP Blocks |
+---------------------------------------------------------+--------------------------------------------+------------+------------+---------+------+------+--------+--------+------------+
| accelerator                                             |                                      (top) |       4358 |       4358 |       0 |    0 | 5351 |     72 |      0 |         27 |
|   (accelerator)                                         |                                      (top) |         53 |         53 |       0 |    0 |   56 |      0 |      0 |          0 |
|   CNN                                                   |                                        cnn |       4220 |       4220 |       0 |    0 | 5227 |     66 |      0 |         27 |
|     (CNN)                                               |                                        cnn |        126 |        126 |       0 |    0 |    0 |      0 |      0 |          0 |
|     OFMAP                                               |                     memory__parameterized6 |         44 |         44 |       0 |    0 |   66 |      1 |      0 |          0 |
|       (OFMAP)                                           |                     memory__parameterized6 |         44 |         44 |       0 |    0 |   66 |      0 |      0 |          0 |
|       LOOP_MEM[0].BRAM_SINGLE_INST                      |               bram_single__parameterized70 |          0 |          0 |       0 |    0 |    0 |      1 |      0 |          0 |
|     gen_core[1].core                                    |                                       core |       1178 |       1178 |       0 |    0 | 1718 |      8 |      0 |          9 |
|       (gen_core[1].core)                                |                                       core |         68 |         68 |       0 |    0 |    0 |      0 |      0 |          0 |
|       GEN_CONV.CONV                                     |                             convolution__1 |        972 |        972 |       0 |    0 | 1583 |      0 |      0 |          9 |
|       GEN_IWGHT.IWGHT                                   |                     memory__parameterized0 |         47 |         47 |       0 |    0 |   67 |      2 |      0 |          0 |
|       IFMAP                                             |                     memory__parameterized1 |         91 |         91 |       0 |    0 |   68 |      6 |      0 |          0 |
|     gen_core[2].core                                    |                       core__parameterized0 |       1487 |       1487 |       0 |    0 | 1722 |     34 |      0 |          9 |
|       (gen_core[2].core)                                |                       core__parameterized0 |         68 |         68 |       0 |    0 |    0 |      0 |      0 |          0 |
|       GEN_CONV.CONV                                     |                             convolution__2 |        970 |        970 |       0 |    0 | 1583 |      0 |      0 |          9 |
|       GEN_IWGHT.IWGHT                                   |                     memory__parameterized2 |        266 |        266 |       0 |    0 |   70 |     19 |      0 |          0 |
|       IFMAP                                             |                     memory__parameterized3 |        183 |        183 |       0 |    0 |   69 |     15 |      0 |          0 |
|     gen_core[3].core                                    |                       core__parameterized1 |       1387 |       1387 |       0 |    0 | 1721 |     23 |      0 |          9 |
|       (gen_core[3].core)                                |                       core__parameterized1 |         65 |         65 |       0 |    0 |    0 |      0 |      0 |          0 |
|       GEN_CONV.CONV                                     |                                convolution |        969 |        969 |       0 |    0 | 1583 |      0 |      0 |          9 |
|       GEN_IWGHT.IWGHT                                   |                     memory__parameterized4 |        266 |        266 |       0 |    0 |   70 |     19 |      0 |          0 |
|       IFMAP                                             |                     memory__parameterized5 |         87 |         87 |       0 |    0 |   68 |      4 |      0 |          0 |
|   IFMAP                                                 |                                     memory |         85 |         85 |       0 |    0 |   68 |      6 |      0 |          0 |
|     (IFMAP)                                             |                                     memory |         85 |         85 |       0 |    0 |   68 |      0 |      0 |          0 |
|     LOOP_MEM[0].BRAM_SINGLE_INST                        |                                bram_single |          0 |          0 |       0 |    0 |    0 |      1 |      0 |          0 |
